frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,150.0,19,120,42,5.992081817731276,2.0972286362059465,,,,,,,,,,,,,,,,,,,,,,,93,772,947,38.54905969407121,47.28751234492932,,,,,,,,,,,,,
1,150.0,24,127,49,6.341619923765601,2.446766742240271,,,,,,,,,,,,,,,,,,,,,,,36,757,949,37.8000494668548,47.38738037522484,,,,,,,,,,,,,
2,284.1,22,119,42,5.9421478025835155,2.0972286362059465,,,,,,,,,,,,,,,,,,,,,,,30,749,950,37.400577345672716,47.4373143903726,,,,,,,,,,,,,
3,309.2,19,181,187,9.038056741744674,9.337660832631238,4.1222639471166564,11.455514347123183,-188.57719057224145,-427.4445651911633,20,296,891,14.780468483737147,44.491207496654724,,,,,20,777,618,38.79872976981001,30.85922136131607,,,,,16,447,439,22.320504771049002,21.921032649866916,-25.67615284700024,-40.13380198854191,958.0654047388146,1497.5299249455927,21,754,899,37.650247421411514,44.89067961783681,,,,
4,336.2,20,181,186,9.038056741744674,9.287726817483478,2.5502643782869114,7.503791708444664,-128.15398885863874,-314.02855338039046,20,296,891,14.780468483737147,44.491207496654724,,,,,19,777,618,38.79872976981001,30.85922136131607,,,,,16,447,439,22.320504771049002,21.921032649866916,-14.640406616091536,-24.085830239376396,735.6988249292227,1210.3432281093665,21,754,899,37.650247421411514,44.89067961783681,,,,
5,352.2,20,180,187,8.988122726596913,9.337660832631238,15.011143925512842,35.682227363923985,-872.7409259019086,-2074.548102553718,20,296,891,14.780468483737147,44.491207496654724,,,,,20,776,619,38.748795754662254,30.909155376463833,,,,,16,447,439,22.320504771049002,21.921032649866916,-74.317466647621,-125.74909091700107,4320.782944629123,7310.99365796517,21,754,899,37.650247421411514,44.89067961783681,,,,
6,362.8,20,180,187,8.988122726596913,9.337660832631238,-0.3615817562495451,0.0,21.269515073502653,0.0,20,296,891,14.780468483737147,44.491207496654724,0.0,0.0,0.0,0.0,20,777,619,38.79872976981001,30.909155376463833,-0.8986245003759369,0.36158175624955796,-33.53076493940061,-21.26951507350341,16,447,439,22.320504771049002,21.921032649866916,0.0,0.0,0.0,0.0,21,754,899,37.650247421411514,44.89067961783681,0.0,0.0,0.0,0.0
7,376.0,20,181,187,9.038056741744674,9.337660832631238,0.0,0.5523166727183424,0.0,-35.29180017369598,20,296,891,14.780468483737147,44.491207496654724,0.0,0.0,0.0,0.0,20,776,619,38.748795754662254,30.909155376463833,-0.5523166727182833,0.552316672718362,35.29180017369222,-35.29180017369725,16,447,439,22.320504771049002,21.921032649866916,0.0,0.0,0.0,0.0,21,754,899,37.650247421411514,44.89067961783681,0.8930291237562842,0.0,44.87583536463739,0.0
8,386.6,20,180,187,8.988122726596913,9.337660832631238,0.0,0.0,0.0,0.0,20,296,891,14.780468483737147,44.491207496654724,0.0,0.0,0.0,0.0,20,777,619,38.79872976981001,30.909155376463833,0.7040550109609005,-0.7936581102069165,-43.46018586178401,-46.142913384123005,16,447,439,22.320504771049002,21.921032649866916,-0.7936581102068601,0.0,-46.14291338411972,0.0,21,754,899,37.650247421411514,44.89067961783681,0.0,0.0,0.0,0.0
9,396.8,20,180,187,8.988122726596913,9.337660832631238,0.0,0.0,0.0,0.0,20,296,891,14.780468483737147,44.491207496654724,0.0,0.0,0.0,0.0,20,776,619,38.748795754662254,30.909155376463833,-0.45578715652109425,-0.41341238686726417,59.58002046027372,-24.318375698074366,16,447,439,22.320504771049002,21.921032649866916,-0.4134123868672348,0.41341238686726417,-24.318375698072636,24.318375698074366,21,754,899,37.650247421411514,44.89067961783681,0.0,0.0,0.0,0.0
