frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,150.1,15,874,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,304.9,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,,,,,21,887,511,44.29147143606368,25.516281740505683,,,,,19,598,264,29.86054105836086,13.182579999008807,,,,,21,796,890,39.74747605761746,44.44127348150696,,,,
4,331.0,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,,,,,21,887,512,44.29147143606368,25.566215755653445,,,,,19,599,264,29.910475073508618,13.182579999008807,,,,,21,796,890,39.74747605761746,44.44127348150696,,,,
5,346.0,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,,,,,21,887,511,44.29147143606368,25.516281740505683,,,,,19,599,264,29.910475073508618,13.182579999008807,,,,,21,796,890,39.74747605761746,44.44127348150696,,,,
6,357.4,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,0.0,0.0,0.0,0.0,21,887,511,44.29147143606368,25.516281740505683,0.0,0.6537430537494716,0.0,24.90449728569416,19,598,264,29.86054105836086,13.182579999008807,0.6537430537494251,0.0,24.90449728569239,0.0,21,796,890,39.74747605761746,44.44127348150696,0.0,0.0,0.0,0.0
7,374.9,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,0.0,0.0,0.0,0.0,20,887,511,44.29147143606368,25.516281740505683,0.0,-0.5194538552268995,0.0,28.154680500102923,19,599,264,29.910475073508618,13.182579999008807,0.0,0.0,0.0,0.0,21,796,890,39.74747605761746,44.44127348150696,0.0,0.0,0.0,0.0
8,388.3,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,0.0,0.0,0.0,0.0,21,887,511,44.29147143606368,25.516281740505683,0.0,0.6842314627080037,0.0,32.35136939517747,19,599,264,29.910475073508618,13.182579999008807,0.0,0.0,0.0,0.0,21,796,890,39.74747605761746,44.44127348150696,-0.6842314627079064,0.0,-32.35136939517287,0.0
9,399.7,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,0.0,0.0,0.0,0.0,21,887,512,44.29147143606368,25.566215755653445,0.0,0.6656895100247637,0.0,-24.33965301735883,19,599,264,29.910475073508618,13.182579999008807,0.6656895100247164,0.0,-24.339653017357094,0.0,21,796,890,39.74747605761746,44.44127348150696,0.0,0.0,0.0,0.0
10,411.8,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,-0.20339833301531515,0.0,-11.024299892428994,0.0,21,887,511,44.29147143606368,25.516281740505683,0.0,0.20339833301531515,0.0,11.024299892428994,19,599,264,29.910475073508618,13.182579999008807,0.0,0.0,0.0,0.0,21,796,890,39.74747605761746,44.44127348150696,0.0,0.0,0.0,0.0
11,426.6,,,,,,,,,,20,337,893,16.827763104795334,44.59107552695024,0.0,0.0,0.0,0.0,21,887,512,44.29147143606368,25.566215755653445,0.0,0.9416571036106963,0.0,-18.908777180937673,19,599,264,29.910475073508618,13.182579999008807,0.0,0.0,0.0,0.0,21,795,890,39.697542042469706,44.44127348150696,-0.8024146530134653,0.0,26.1799234262142,0.0
