frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,131.8,37,6,37,0.2996040908865638,1.8475585604671434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,131.8,37,12,36,0.5992081817731276,1.7976245453193829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,321,890,16.028818862431162,44.44127348150696,,,,
2,256.1,38,13,36,0.6491421969208883,1.7976245453193829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,321,891,16.028818862431162,44.491207496654724,,,,
3,280.9,20,358,69,17.876377422898308,3.4454470451954835,26.625298343975633,2.420481667634148,-1224.1516479988798,-111.2865134544436,20,335,892,16.727895074499813,44.541141511802486,,,,,20,858,542,42.843384996778624,27.064236210086264,,,,,18,553,319,27.61351037671163,15.928950832135643,,,,,21,793,890,39.59767401217418,44.44127348150696,,,,
4,314.3,20,358,69,17.876377422898308,3.4454470451954835,9.685803966481924,0.9237905517164839,-931.3273044694153,-88.82601458812341,20,335,892,16.727895074499813,44.541141511802486,,,,,20,857,543,42.79345098163086,27.114170225234023,,,,,18,553,319,27.61351037671163,15.928950832135643,,,,,21,793,890,39.59767401217418,44.44127348150696,13.213004254853955,0.0,-1270.481178351341,0.0
5,324.4,20,358,69,17.876377422898308,3.4454470451954835,83.66497439359502,7.018348029517329,-4935.986689887606,-500.9632936511124,20,335,892,16.727895074499813,44.541141511802486,,,,,20,858,542,42.843384996778624,27.064236210086264,,,,,18,553,319,27.61351037671163,15.928950832135643,,,,,21,793,890,39.59767401217418,44.44127348150696,114.46338525732418,-0.24250717215535703,-6753.002080078116,14.307207796776211
6,324.4,21,358,69,17.876377422898308,3.4454470451954835,0.0,-0.8278374832984878,0.0,-38.06149348498795,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,858,543,42.843384996778624,27.114170225234023,-0.8278374832985246,0.5027660796308266,-38.06149348498964,-29.661715612438126,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,793,890,39.59767401217418,44.44127348150696,0.8278374832985246,0.0,38.06149348498964,0.0
7,335.1,21,358,69,17.876377422898308,3.4454470451954835,0.0,0.0,0.0,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,21,857,542,42.79345098163086,27.064236210086264,0.0,-1.231258930525941,0.0,112.44373794757465,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,793,890,39.59767401217418,44.44127348150696,0.0,0.0,0.0,0.0
8,358.3,20,358,68,17.876377422898308,3.395513030047723,0.0,-0.5748860002474454,0.0,52.984884815432906,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,858,542,42.843384996778624,27.064236210086264,-0.3401718406633882,0.340171840663364,-20.069135142382763,20.069135142381334,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,793,890,39.59767401217418,44.44127348150696,0.3401718406633882,0.0,20.069135142382763,0.0
9,358.3,20,358,68,17.876377422898308,3.395513030047723,-0.14780833339234425,-1.0744641143274514,-8.720255657365435,23.511249766465024,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,-1.0744641143274993,0.0,23.51124976646607,0.0,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,794,890,39.647608027321944,44.44127348150696,0.926655780935155,0.0,-32.2315054238315,0.0
10,377.8,20,358,69,17.876377422898308,3.4454470451954835,0.0,0.0,0.0,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,21,857,543,42.79345098163086,27.114170225234023,0.0,0.8385068882547839,0.0,-15.499203110069944,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,793,890,39.59767401217418,44.44127348150696,0.0,0.0,0.0,0.0
11,413.9,21,358,69,17.876377422898308,3.4454470451954835,0.0,0.5926869771459903,0.0,-10.985856851640232,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,-0.5926869771460167,0.5926869771459745,10.98585685164072,-10.985856851639939,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,794,890,39.647608027321944,44.44127348150696,0.5926869771460167,0.0,-10.98585685164072,0.0
12,449.7,21,357,68,17.826443407750546,3.395513030047723,-0.08525277826577726,0.21102609521416432,10.089086185299069,4.617638844948892,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.21102609521417373,-0.2110260952141587,4.617638844949097,-4.617638844948769,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,793,890,39.59767401217418,44.44127348150696,-0.08525277826577726,-0.21102609521417373,10.089086185299069,-4.617638844949097
13,486.0,20,358,69,17.876377422898308,3.4454470451954835,0.0,0.0,0.0,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.23171147290852398,-0.2317114729085075,4.283021680379372,-4.283021680379067,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,793,890,39.59767401217418,44.44127348150696,0.0,0.0,0.0,0.0
14,521.8,20,358,69,17.876377422898308,3.4454470451954835,0.0,0.0,0.0,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.0,0.0,0.0,0.0,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,794,890,39.647608027321944,44.44127348150696,0.0,0.0,0.0,0.0
15,558.0,21,358,69,17.876377422898308,3.4454470451954835,0.23347773298100905,0.23347773298099866,-4.203019495607723,-4.203019495607537,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,858,542,42.843384996778624,27.064236210086264,0.011620157230160848,-0.011620157230160067,-8.300112307257738,8.300112307257146,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,794,889,39.647608027321944,44.3913394663592,0.23347773298100905,-0.23347773298100905,-4.203019495607723,4.203019495607723
16,593.9,20,358,69,17.876377422898308,3.4454470451954835,0.0,0.0,0.0,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,858,542,42.843384996778624,27.064236210086264,0.015343080846688896,-0.01534308084668783,-8.293557214426361,8.293557214425771,18,553,319,27.61351037671163,15.928950832135643,-0.21994759327747054,0.0,-4.076878466681568,0.0,21,793,890,39.59767401217418,44.44127348150696,0.21994759327747054,0.0,4.076878466681568,0.0
17,630.0,20,358,69,17.876377422898308,3.4454470451954835,-0.2187779959040488,0.0,-4.043955561997204,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.0,0.0,0.0,0.0,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,794,890,39.647608027321944,44.44127348150696,0.0,-0.2187779959040488,0.0,-4.043955561997204
18,669.1,20,358,69,17.876377422898308,3.4454470451954835,0.0,0.0,0.0,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,-0.22801420716854956,0.22801420716853335,3.9862623630865315,-3.9862623630862486,18,553,319,27.61351037671163,15.928950832135643,-0.21504927212706879,0.0,-3.871274025689807,0.0,21,794,889,39.647608027321944,44.3913394663592,0.0,0.0,0.0,0.0
19,705.5,20,358,69,17.876377422898308,3.4454470451954835,-0.23464155732041864,0.0,-4.205045830115028,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,-0.2201546846005847,0.22015468460056903,4.073167152647264,-4.073167152646975,18,552,319,27.563576361563868,15.928950832135643,0.014486872719833928,0.0,8.278212982762293,0.0,21,794,890,39.647608027321944,44.44127348150696,0.2201546846005847,-0.23464155732041864,-4.073167152647264,-4.205045830115028
20,742.1,20,357,69,17.826443407750546,3.4454470451954835,0.0060412527823778105,0.0,8.055003709837107,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.0,0.0,0.0,0.0,18,553,319,27.61351037671163,15.928950832135643,0.0,0.0,0.0,0.0,21,794,889,39.647608027321944,44.3913394663592,0.0,-0.2212207121240751,0.0,4.000374541122515
21,783.5,20,358,69,17.876377422898308,3.4454470451954835,0.0,0.0,0.0,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.0,0.0,0.0,0.0,18,552,319,27.563576361563868,15.928950832135643,0.05162739365980416,0.0,8.533453497488285,0.0,21,794,889,39.647608027321944,44.3913394663592,0.0,0.0,0.0,0.0
22,813.6,21,357,69,17.826443407750546,3.4454470451954835,-0.0008530457699685158,0.0,8.530457699688574,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.0,-0.23032255499087517,0.0,-4.261286863845978,18,553,319,27.61351037671163,15.928950832135643,0.23117560076086008,0.0,-4.269170835842293,0.0,21,794,889,39.647608027321944,44.3913394663592,0.0,-0.23117560076086008,0.0,4.269170835842293
23,852.7,21,358,69,17.876377422898308,3.4454470451954835,0.22052081571730178,0.0,-4.176530600706476,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.0,0.0,0.0,0.0,18,553,319,27.61351037671163,15.928950832135643,-0.24189784971050163,0.0,-4.374282996573265,0.0,21,794,889,39.647608027321944,44.3913394663592,-0.24189784971050163,0.24189784971050163,-4.374282996573265,4.374282996573265
24,885.8,20,358,69,17.876377422898308,3.4454470451954835,0.0,0.0,0.0,0.0,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.0,-0.2119642645065075,0.0,-4.143973890645309,18,553,319,27.61351037671163,15.928950832135643,0.2554294060965791,0.0,-4.549054427365609,0.0,21,794,889,39.647608027321944,44.3913394663592,0.0,0.21196426450652256,0.0,4.143973890645603
