frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,771,979,38.49912567892345,48.88540082965766,,,,,,,,,,,,,
1,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,771,949,38.49912567892345,47.38738037522484,,,,,,,,,,,,,
2,267.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,764,953,38.149587572889125,47.58711643581588,,,,,,,,,,,,,
3,289.9,20,140,66,6.9907621206864885,3.2956449997522017,,,,,20,310,892,15.479544695805796,44.541141511802486,,,,,20,810,592,40.446552269686116,29.560936967474294,,,,,14,487,394,24.31786537695943,19.674001968217688,-24.25314490100002,-50.821398454069644,1102.4156773181826,2258.4788397017624,21,770,899,38.449191663775686,44.89067961783681,,,,
4,310.6,20,140,66,6.9907621206864885,3.2956449997522017,,,,,20,310,893,15.479544695805796,44.59107552695024,,,,,20,809,593,40.39661825453835,29.610870982622053,,,,,15,488,394,24.367799392107187,19.674001968217688,-15.596734119612993,-30.587234757544916,901.5453248331219,1768.048251881211,21,770,899,38.449191663775686,44.89067961783681,,,,
5,322.0,20,140,66,6.9907621206864885,3.2956449997522017,,,,,20,310,892,15.479544695805796,44.541141511802486,,,,,20,809,592,40.39661825453835,29.560936967474294,,,,,16,488,394,24.367799392107187,19.674001968217688,-97.99544518172277,-196.66409757792624,5629.133702088979,11467.294319412607,21,770,899,38.449191663775686,44.89067961783681,,,,
6,333.9,20,140,66,6.9907621206864885,3.2956449997522017,2.4542259156881157,0.8180753052293718,111.55572344036888,37.185241146789636,20,310,892,15.479544695805796,44.541141511802486,0.0,0.8180753052292845,0.0,37.185241146785664,20,810,592,40.446552269686116,29.560936967474294,-0.818075305229401,0.0,-37.18524114679095,0.0,16,487,393,24.31786537695943,19.62406795306993,0.8180753052293427,0.3209382102658767,37.18524114678831,66.17282685894375,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
7,345.2,21,141,66,7.040696135834249,3.2956449997522017,2.175275907256319,1.4557776576613735,42.3177039715792,84.14899755268064,20,310,893,15.479544695805796,44.59107552695024,0.0,0.0,0.0,0.0,20,809,592,40.39661825453835,29.560936967474294,0.0,0.008390579235740792,0.0,83.90579235743878,15,488,394,24.367799392107187,19.674001968217688,0.0,0.0,0.0,0.0,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
8,356.3,20,142,67,7.09063015098201,3.3455790148999625,2.1337394600047546,0.8662624606989305,-45.35655520634832,-34.375494472179795,20,310,893,15.479544695805796,44.59107552695024,0.0,0.8662624606988382,0.0,-34.37549447217613,20,809,593,40.39661825453835,29.610870982622053,0.0,0.4650479220920207,0.0,-57.76992821018901,15,487,394,24.31786537695943,19.674001968217688,-0.4650479220920207,0.0,57.76992821018901,0.0,21,769,899,38.39925764862792,44.89067961783681,-0.8662624606989614,0.0,34.375494472181025,0.0
9,368.2,21,143,67,7.140564166129771,3.3455790148999625,2.998100855658613,0.9993669518862044,-79.84289895229325,-26.61429965076442,20,310,893,15.479544695805796,44.59107552695024,0.0,0.9993669518860976,0.0,-26.61429965076158,20,809,592,40.39661825453835,29.560936967474294,-1.2078320477326379,0.208465095846383,14.458900476048294,12.155399174716207,16,488,394,24.367799392107187,19.674001968217688,0.7909018560397858,0.9993669518861688,-38.76969882547968,-26.614299650763474,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
10,379.6,21,143,68,7.140564166129771,3.395513030047723,2.0283708143509926,2.0283708143509926,-50.8586977451447,-50.8586977451447,20,310,893,15.479544695805796,44.59107552695024,0.0,0.0,0.0,0.0,20,809,593,40.39661825453835,29.610870982622053,0.0,0.9497208093137499,0.0,-29.177290608717378,15,488,394,24.367799392107187,19.674001968217688,0.0,0.0,0.0,0.0,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
11,406.7,21,143,67,7.140564166129771,3.3455790148999625,0.6763083295871402,0.0,-12.478013461017342,0.0,20,310,893,15.479544695805796,44.59107552695024,0.0,0.0,0.0,0.0,20,809,592,40.39661825453835,29.560936967474294,0.0,-0.6763083295871162,0.0,12.478013461016898,16,488,394,24.367799392107187,19.674001968217688,0.5301083726077036,0.0,-18.279599055438034,0.0,21,769,899,38.39925764862792,44.89067961783681,0.14619995697942298,0.0,5.8015855944215495,0.0
12,443.3,21,143,67,7.140564166129771,3.3455790148999625,-0.1904778721993398,0.0,-5.072646396786676,0.0,20,310,893,15.479544695805796,44.59107552695024,0.0,0.0,0.0,0.0,20,808,593,40.34668423939059,29.610870982622053,-0.01078258199135871,0.20126045419069097,17.419913525051,-12.347267128263264,15,487,394,24.31786537695943,19.674001968217688,-0.20126045419069097,0.0,12.347267128263264,0.0,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
13,479.1,20,142,67,7.09063015098201,3.3455790148999625,-0.04205183725669072,-0.26189737949945874,9.242162034437518,4.823156160211025,20,310,893,15.479544695805796,44.59107552695024,0.0,0.0,0.0,0.0,20,809,592,40.39661825453835,29.560936967474294,0.0,-0.04205183725668927,0.0,9.24216203443719,16,488,394,24.367799392107187,19.674001968217688,0.0,0.0,0.0,0.0,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
14,515.1,20,143,67,7.140564166129771,3.3455790148999625,-0.23257086100984367,0.23257086100984367,-4.290975295384568,4.290975295384568,20,310,893,15.479544695805796,44.59107552695024,0.0,0.0,0.0,0.0,20,809,592,40.39661825453835,29.560936967474294,0.0,0.0,0.0,0.0,15,487,394,24.31786537695943,19.674001968217688,-0.22957687654058775,0.0,4.263266045321966,0.0,21,770,899,38.449191663775686,44.89067961783681,0.22957687654060407,0.0,-4.26326604532227,0.0
15,551.0,20,142,67,7.09063015098201,3.3455790148999625,-0.23192751339131032,0.0,4.302922326369396,0.0,20,310,893,15.479544695805796,44.59107552695024,0.0,0.0,0.0,0.0,20,810,592,40.446552269686116,29.560936967474294,0.23235760604499772,-0.0004300926536791651,-12.90477539995617,8.601853073586012,15,488,394,24.367799392107187,19.674001968217688,0.0004300926536791651,0.0,-8.601853073586012,0.0,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
16,587.7,21,143,67,7.140564166129771,3.3455790148999625,0.0029447236308258232,0.22769260285201043,-8.413496088074414,4.193233938342733,20,310,893,15.479544695805796,44.59107552695024,0.0,-0.22769260285198611,0.0,-4.193233938342285,20,809,593,40.39661825453835,29.610870982622053,0.0,0.23063732648282803,0.0,-4.220262149731529,15,488,394,24.367799392107187,19.674001968217688,-0.22769260285200232,0.0,-4.193233938342583,0.0,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
17,622.8,21,142,68,7.09063015098201,3.395513030047723,-0.2334231211100058,0.2334231211100058,4.275148738278492,-4.275148738278492,20,310,893,15.479544695805796,44.59107552695024,0.0,0.0,0.0,0.0,20,809,592,40.39661825453835,29.560936967474294,0.0,0.0,0.0,0.0,15,487,394,24.31786537695943,19.674001968217688,0.0,0.0,0.0,0.0,21,770,899,38.449191663775686,44.89067961783681,0.0,0.0,0.0,0.0
