frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,142.3,12,841,546,41.99450673926669,27.263972270677304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,142.3,12,841,546,41.99450673926669,27.263972270677304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,263.7,18,847,550,42.29411083015326,27.463708331268347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,319,890,15.928950832135643,44.44127348150696,,,,
3,286.1,20,304,31,15.179940604919231,1.5479544695805796,-44.855557207437926,-43.090729052007,1969.6202429117363,1887.9152357158582,20,335,892,16.727895074499813,44.541141511802486,,,,,21,857,543,42.79345098163086,27.114170225234023,,,,,18,552,319,27.563576361563868,15.928950832135643,,,,,21,793,890,39.59767401217418,44.44127348150696,,,,
4,303.8,20,303,30,15.130006589771472,1.498020454432819,-30.38970605146515,-29.147004317018624,1683.6402244579047,1614.7924829373214,20,335,892,16.727895074499813,44.541141511802486,,,,,20,857,543,42.79345098163086,27.114170225234023,,,,,18,552,319,27.563576361563868,15.928950832135643,,,,,21,793,890,39.59767401217418,44.44127348150696,,,,
5,329.3,20,302,29,15.080072574623712,1.4480864392850583,-99.65978843350037,-95.11881060806067,9609.401088587478,9190.877786703642,20,335,892,16.727895074499813,44.541141511802486,,,,,21,857,542,42.79345098163086,27.064236210086264,,,,,18,552,319,27.563576361563868,15.928950832135643,,,,,21,793,890,39.59767401217418,44.44127348150696,89.6843120524327,0.0,-8265.835212205782,0.0
6,329.3,20,302,29,15.080072574623712,1.4480864392850583,1.6646965796294284,0.7801295222890006,184.09521019323464,143.14303161266093,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,543,42.79345098163086,27.114170225234023,0.0,-0.8845670573404083,0.0,-40.95217858057447,18,552,319,27.563576361563868,15.928950832135643,0.0,0.0,0.0,0.0,21,793,890,39.59767401217418,44.44127348150696,0.0,0.0,0.0,0.0
7,339.9,20,303,30,15.130006589771472,1.498020454432819,1.0449050498995032,0.5224525249497586,57.889476448725986,28.94473822436338,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,21,857,543,42.79345098163086,27.114170225234023,0.0,0.0,0.0,0.0,18,552,319,27.563576361563868,15.928950832135643,0.0,0.5224525249497423,0.0,28.944738224362478,21,793,890,39.59767401217418,44.44127348150696,0.0,0.0,0.0,0.0
8,351.0,20,304,31,15.179940604919231,1.5479544695805796,3.7391782549859776,3.739178254986034,-79.54240762099033,-79.54240762099177,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,21,857,542,42.79345098163086,27.064236210086264,0.0,0.13965594453634433,0.0,12.871515625469529,18,552,319,27.563576361563868,15.928950832135643,0.0,0.0,0.0,0.0,21,793,890,39.59767401217418,44.44127348150696,0.0,0.0,0.0,0.0
9,361.6,20,305,31,15.229874620066992,1.5479544695805796,3.4413322638405797,2.4328903765440115,-74.08680869409216,-40.8048982222578,20,335,892,16.727895074499813,44.541141511802486,0.0,0.0,0.0,0.0,20,857,542,42.79345098163086,27.064236210086264,0.0,-1.008441887296568,0.0,33.28191047183394,18,552,319,27.563576361563868,15.928950832135643,0.0,0.1386688673169315,0.0,8.586307573803808,21,793,890,39.59767401217418,44.44127348150696,0.0,0.0,0.0,0.0
