frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,150.5,16,716,870,35.752754845796616,43.44259317855175,,,,,,,,,,,,,,,,,,,,,,,60,271,857,13.532118105043132,42.79345098163086,,,,,,,,,,,,,
1,150.5,19,720,865,35.95249090638765,43.19292310281295,,,,,,,,,,,,,,,,,,,,,,,64,268,857,13.38231605959985,42.79345098163086,,,,,,,,,,,,,
2,272.7,19,720,865,35.95249090638765,43.19292310281295,,,,,,,,,,,,,,,,,,,,,,,63,269,857,13.43225007474761,42.79345098163086,,,,,,,,,,,,,
3,295.5,20,263,757,13.132645983861046,37.8000494668548,-39.16134549337665,-9.76872415176945,1611.5780038426597,402.00510912631455,14,317,909,15.829082801840121,45.390019769314414,,,,,20,732,865,36.55169908816078,43.19292310281295,,,,,19,351,861,17.52683931686398,42.993187042221905,6.915910903907571,0.3457955451953795,-284.605386992081,-14.230269349604088,10,783,908,39.09833386069658,45.34008575416665,,,,
4,319.4,21,263,757,13.132645983861046,37.8000494668548,-23.683590070362982,-5.596997215753176,1319.4200596302483,311.81042984697325,14,317,909,15.829082801840121,45.390019769314414,,,,,21,731,865,36.501765073013026,43.19292310281295,,,,,19,351,861,17.52683931686398,42.993187042221905,4.301396008402904,0.20729619317604409,-239.6320896046184,-11.548534438776818,12,781,907,38.99846583040105,45.290151739018896,,,,
5,332.3,20,263,757,13.132645983861046,37.8000494668548,-140.89131125347362,-33.29597727653205,8120.53667166995,1919.0765000883032,14,317,909,15.829082801840121,45.390019769314414,,,,,21,731,865,36.501765073013026,43.19292310281295,,,,,19,351,861,17.52683931686398,42.993187042221905,25.280279043292854,1.2331843435752643,-1457.0766019188968,-71.07690741067807,11,781,907,38.99846583040105,45.290151739018896,,,,
6,344.1,21,263,757,13.132645983861046,37.8000494668548,0.0,-0.8327619155435585,0.0,-34.27003767668963,14,317,909,15.829082801840121,45.390019769314414,0.0,0.0,0.0,0.0,21,731,865,36.501765073013026,43.19292310281295,-0.4294367138948429,0.0,24.609553804862074,0.0,19,351,861,17.52683931686398,42.993187042221905,0.0,0.0,0.0,0.0,12,781,907,38.99846583040105,45.290151739018896,-0.858873427789808,0.4033252016485971,49.21910760973115,58.87959148154683
7,355.3,21,263,757,13.132645983861046,37.8000494668548,0.0,0.0,0.0,0.0,14,317,909,15.829082801840121,45.390019769314414,0.0,0.0,0.0,0.0,21,731,866,36.501765073013026,43.24285711796071,0.0,0.022864432471214242,0.0,-76.21477490405232,19,351,861,17.52683931686398,42.993187042221905,0.0,0.0,0.0,0.0,12,781,907,38.99846583040105,45.290151739018896,0.6783588677078165,0.67835886770772,37.79158037369447,37.7915803736891
8,367.0,21,263,757,13.132645983861046,37.8000494668548,0.0,0.0,0.0,0.0,14,317,909,15.829082801840121,45.390019769314414,0.0,0.0,0.0,0.0,21,731,865,36.501765073013026,43.19292310281295,0.0,0.0,0.0,0.0,19,351,861,17.52683931686398,42.993187042221905,0.0,0.0,0.0,0.0,11,781,908,38.99846583040105,45.34008575416665,-0.5130308301140992,0.7988409280639218,-29.56950029476077,-36.89796434475389
9,379.0,20,263,756,13.132645983861046,37.75011545170704,0.0,-0.7143606562476671,0.0,41.05521012917626,14,317,909,15.829082801840121,45.390019769314414,0.0,0.0,0.0,0.0,21,731,865,36.501765073013026,43.19292310281295,0.0,0.0,0.0,0.0,19,351,861,17.52683931686398,42.993187042221905,-0.23903277480609167,0.0,-13.698153284016724,0.0,11,781,908,38.99846583040105,45.34008575416665,0.23903277480610868,0.7143606562475655,13.698153284017698,-41.05521012917042
